0.0087064,-0.010467,0.010954,-0.060538,-0.024409,-0.031435,-0.0006744,-0.0025399,-0.039622,-0.034582,0.023595,-0.045423,-0.048937,-0.10824,0.064886,-0.092111,-0.38625,-0.15097,-0.232,-0.3198,-0.04614,-0.0048043,0.0026291,-0.036257,-0.14457,-0.15271,-0.0075343,-0.04168,-0.0092673,-0.13174,-0.16445,0.053085,-0.1182,-0.096889,-0.05361,-0.084245
-0.044112,0.0097003,0.0037619,-0.10789,-0.044831,-0.023831,-0.023081,-0.014521,-0.037445,-0.03556,-0.001396,-0.056265,-0.0775,-0.010263,0.18262,0.090707,-0.71959,-0.20488,-0.76531,-0.050821,-0.079652,0.013283,0.0056615,-0.10298,-0.14915,-0.18096,-0.042682,-0.099285,-0.0058192,-0.13642,-0.16611,0.067595,0.081544,-0.40158,-0.30396,-0.13942
-0.092173,0.034962,0.013766,-0.13152,-0.032733,0.025749,-0.056875,-0.036837,-0.08096,-0.078395,-0.025297,-0.042217,-0.082521,0.074893,0.081795,0.10429,-0.85484,-0.34581,-0.70146,-0.040438,-0.1701,0.010817,0.0070015,-0.20822,-0.045917,-0.081062,-0.0742,-0.097996,-0.013777,-0.11762,-0.14968,0.05255,0.030108,-0.30277,-0.49703,-0.23461
-0.094814,0.015041,0.037836,-0.18126,0.02562,0.074877,-0.072688,-0.037967,-0.15141,-0.14475,-0.006214,-0.11218,-0.10619,0.19702,0.27054,0.32412,-1.1568,-0.099372,-0.77572,-0.54341,-0.062611,-0.012431,-0.0076701,-0.19616,-0.056803,-0.072135,-0.09896,-0.14078,-0.023,-0.10043,-0.13984,0.0086218,-0.15248,-0.63386,-0.58759,-0.39516
-0.15924,-0.039061,0.041327,-0.21788,0.06074,0.085904,-0.10486,-0.081862,-0.16417,-0.15614,0.020138,-0.13527,-0.11187,0.041266,0.23172,0.04648,-1.1863,-0.084246,-0.61387,-0.80296,-0.15801,-0.036978,-0.042799,-0.093591,-0.15357,-0.17638,-0.1545,-0.13672,-0.028963,-0.068441,-0.10639,0.012899,-0.24325,-0.94479,-0.83056,-0.47712
-0.1998,-0.026339,0.023959,-0.26594,0.07387,0.057244,-0.098386,-0.086752,-0.15454,-0.1447,-0.033649,-0.16203,-0.12604,0.12095,0.15752,0.1015,-1.1097,-0.14165,-0.65945,-0.92492,-0.36931,-0.054983,-0.040261,-0.1219,-0.094215,-0.13315,-0.18972,-0.1559,-0.012252,-0.091315,-0.1326,0.017159,-0.19543,-1.0057,-0.9167,-0.41554
-0.28662,-0.027307,-0.050716,-0.27846,0.097708,-0.019546,-0.13914,-0.11893,-0.11725,-0.10904,-0.037608,-0.21632,-0.14971,0.034803,-0.29263,-0.11796,-0.9275,-0.3056,-0.66017,-1.1629,-0.59899,-0.090512,-0.064264,-0.24034,-0.14731,-0.16309,-0.19881,-0.15379,-0.0033596,-0.090154,-0.14211,-0.050232,-0.60778,-1.0942,-1.1264,-0.51163
-0.32672,-0.01601,-0.054258,-0.31315,0.039728,-0.048139,-0.17914,-0.16125,-0.14072,-0.13278,-0.037812,-0.26855,-0.15298,-0.18838,-0.58937,-0.35665,-1.2598,-0.27849,-1.0259,-1.2638,-0.86875,-0.16105,-0.054401,-0.3151,-0.25731,-0.27553,-0.23214,-0.084304,0.0044469,-0.12909,-0.19331,-0.056796,-0.39935,-1.3339,-1.2977,-0.71871
-0.3861,-0.023696,-0.15059,-0.38205,-0.029599,-0.11984,-0.18214,-0.17456,-0.13814,-0.12624,-0.031634,-0.29246,-0.10058,-0.37471,-0.64428,-0.24827,-1.277,-0.62387,-1.173,-1.1189,-0.72836,-0.19583,-0.082126,-0.57503,-0.26313,-0.29046,-0.26715,-0.061326,-0.0046456,-0.098262,-0.16821,-0.081857,-0.62517,-1.0605,-1.3235,-0.78087
-0.50367,0.039875,-0.14846,-0.40605,-0.046391,-0.14784,-0.23461,-0.22214,-0.17579,-0.16089,-0.089955,-0.33246,-0.060615,-0.53729,-0.71312,-0.43235,-1.1836,-0.58622,-1.1481,-1.2775,-0.69252,-0.24762,-0.08741,-0.57227,-0.20687,-0.23652,-0.25492,-0.099922,0.00076734,-0.090763,-0.15871,-0.12258,-0.62519,-1.3721,-1.4863,-0.77113
