1	126.2752109366325
2	108.7847412829787	17.490469653654955
3	105.65143883674409	15.944238753283265	4.679533346605986
4	105.8495993121158	15.179900104859676	3.0124727211553797	2.2332387985026045
5	100.10120673896296	13.463262761423586	7.495480823025964	2.6445338107950622	2.570726802425847
6	95.3114815025524	17.762101560738316	3.905685852883126	3.827122211162173	3.6787088210113588	1.79011098828596
7	89.74082970331472	14.617156709312802	8.08669517825377	4.7962766166386395	3.9902623522504914	2.7303934417022457	2.313596935160774
8	90.91372039943838	14.617156709312802	6.840109775190072	6.534450801266601	3.423391378732763	2.605699022010576	1.0791479213354966	0.2615349293467084
9	90.64179264512865	11.911442181834289	8.421005898711321	4.7625085276986745	4.037469996266152	2.7001543808094794	2.2642460315230544	0.8343622036457492	0.702229071015839
