week	Spectral 0	Spectral 1	Spectral 2	Spectral 3	Spectral 4	Spectral 5	Spectral 6
0	1.2356877741384427	4.912473877056385	24.559392907357335	112.5298625690478	1.1745554806309793	5.148136492197899	1.4116669043363181
1	0.7831043122903019	6.583914586713512	22.239813735350083	158.21828889034816	0.6817521102112494	2.5726517841479843	3.232525134003291
2	0.19173624718684112	3.8316160342983014	21.26334037492434	51.19203588937302	1.441017145648411	1.5978979698739977	3.493010918993587
3	0.3922291581103634	3.3324842531465535	25.18659231554099	80.9653932919374	1.5095506739703923	1.6095137301320595	1.7981575029499046
4	1.1915526164897328	4.453013375924932	49.094443145576804	149.79500067714946	1.7160211941319972	0.8667692441713957	1.2727512954762972
5	0.5910754058154792	3.87405354299314	31.25252564326155	249.87777224716012	1.3620750929376886	0.03681574476439664	1.3375337613165938
6	0.16707340384754077	4.0303586603370505	44.96946241358279	129.03814736340797	1.9431444075021922	3.1056424069449715	0.8339185255444965
7	0.9552983016525878	3.495371759202273	28.06574012853602	108.61270293557789	0.9121844552500455	0.037343475780842184	1.3350640480764087
8	1.5447028632732547	5.8138010372477815	29.460513878509488	129.3714693257325	1.1039542119817387	0.0905234488137161	1.3428300070402228
9	1.059175226560249	3.571856479830579	33.660093981899905	102.62774550724805	1.4873018446938637	4.7607573911306	1.2342001783262821
