week	Spectral 0	Spectral 1	Spectral 2
0	1.2412900205656898	0	124.07130516651193
1	2.136359733153199	0.30037997608124645	165.57494876844225
2	2.8704043344024175	0.33658792394379655	53.747478665626204
3	1.1018295190306882	0.3461496436888809	92.6896877256537
4	0.9954898613768521	0.07012509231260239	197.32173489052911
5	0.886929785840394	0.3610188673946255	273.75092526012304
6	0.47381005206063187	0.34115600519993894	182.76146778135194
7	0.9063989490549798	0.22971220449850926	130.70394204962656
8	0.8661453675606507	0.3720805682602335	149.4028022199609
9	0.8337620097677871	0.3653143951257183	130.0318411296978
