week	Gen 0	Gen 1	Gen 2
0	5.398929122252497	128.499838623357	17.073008259156886
1	7.44841836743597	165.8991242942991	20.96450789133091
2	7.606550160111556	61.507159577000635	13.896944843185999
3	5.909872281013573	98.37729638422968	10.506752260544992
4	6.690696872850985	190.8572311358073	10.841623540260812
5	5.350540547173196	274.73331573302335	8.24799515804839
6	6.457432745444223	166.23379349895538	11.39652093676969
7	5.415369987287914	132.12521884175123	5.873116275039649
8	7.00345223334816	153.600887435426	8.12345510382513
9	5.364409255270477	129.32296831392978	13.713753040489117
